SL,Category,Job Title,Skills,Experience,Salary,Job Link
157,Systems Administrator,Systems Administrator - Europe Based,"SQL, Selenium, Python, Tableau, iOS, Vue.js",6 year(s),"৳50,000 - ৳50,000 per month",https://www.linkedin.com/jobs/view/4000000157
158,Security Engineer,Data Security Engineer,"Jenkins, Ansible, NumPy, Power BI",3 year(s),"$43,010 per year",https://www.linkedin.com/jobs/view/4000000158
159,Machine Learning Engineer,Machine Learning Engineer - iOS Developer,"Kotlin, Express.js, CSS, MongoDB",2 year(s),"Tk. 50,000 - 70,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000159
160,Software Developer,Software Developer - PHP Developer,"Android, Angular, Python",1 year(s),"Tk. 30,000 - 60,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000160
161,Data Analyst,Data Analyst (Remote),"AWS, Vue.js, iOS, Linux",2 year(s),"৳40,000 - ৳50,000 per month",https://www.linkedin.com/jobs/view/4332405524
162,Web Developer,Web Developer - Remote Based,"iOS, C++, HTML, Computer Vision, Java",10 year(s),"Tk. 30,000 - 30,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000162
163,QA Engineer,Lead QA Engineer,"CSS, Vue.js, PHP, Git, REST API",5 year(s),"$85,251 per year",https://www.linkedin.com/jobs/view/4000000163
164,NLP Engineer,Lead NLP Engineer,"AWS, Node.js, PHP, NumPy, HTML, REST API",Fresh / 0-1 year,"$40,790-$98,119 per year",https://www.linkedin.com/jobs/view/4339571376
165,QA Engineer,QA Engineer (Remote),"Selenium, React, Python",1 year(s),"$66,081-$142,483 per year",https://www.linkedin.com/jobs/view/4000000165
166,Computer Vision Engineer,Computer Vision Engineer - Cloud,"MongoDB, Vue.js, Spark",12 year(s),"Tk. 50,000 - 80,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000166
167,NLP Engineer,NLP Engineer (Remote),"Node.js, Scikit-learn, GraphQL, REST API, JavaScript, MongoDB",4 year(s),"BDT 20,000 - 20,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000167
168,Machine Learning Engineer,Machine Learning Engineer (Remote),"Redis, Linux, TensorFlow",1 year(s),"৳15,000 - ৳45,000 per month",https://www.linkedin.com/jobs/view/4000000168
169,Security Engineer,Security Engineer - Mobile,"Jenkins, Swift, iOS",3 year(s),"BDT 10,000 - 10,000 (Monthly)",https://www.linkedin.com/jobs/view/4315216564
170,Systems Administrator,Contract Systems Administrator,"Golang, SQL, PHP, GCP, iOS, Ansible",1 year(s),"BDT 15,000 - 15,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000170
171,Systems Administrator,Systems Administrator - Frontend,"Vue.js, Git, Scikit-learn, Python, Kubernetes",3 year(s),"$88,468-$130,263 per year",https://www.linkedin.com/jobs/view/4000000171
172,DevOps Engineer,Senior DevOps Engineer,"Django, Golang, CI/CD, Docker, HTML, Kotlin",8 year(s),"Tk. 70,000 - 90,000 (Monthly)",https://www.linkedin.com/jobs/view/4321162807
173,IT Support,IT Support - Security,"Flask, Golang, Ansible",5 year(s),"BDT 15,000 - 15,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000173
174,IT Support,IT Support - Mobile,"Linux, Azure, Kotlin, Security, Computer Vision",2 year(s),"BDT 15,000 - 25,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000174
175,Data Analyst,Mobile Data Analyst,"Node.js, CI/CD, Docker, Tableau, C++, PyTorch",2 year(s),"$45,925 per year",https://www.linkedin.com/jobs/view/4316917585
176,DevOps Engineer,Lead DevOps Engineer,"Azure, Spark, JavaScript, Swift, MongoDB",1 year(s),"BDT 70,000 - 100,000 (Monthly)",https://www.linkedin.com/jobs/view/4321622737
177,Data Scientist,Lead Data Scientist,".NET, Bash, Azure, Kubernetes",3 year(s),"Tk. 40,000 - 40,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000177
178,Data Scientist,Senior Data Scientist,"JavaScript, Spring, Jenkins, TensorFlow, iOS, Azure",6 year(s),"BDT120,000 - 140,000 (Monthly)",https://www.linkedin.com/jobs/view/4332405524
179,Product Engineer,Product Engineer - Mobile,"GCP, Git, pandas, JavaScript, Vue.js, MySQL",2 year(s),"৳30,000 - ৳30,000 per month",https://www.linkedin.com/jobs/view/4000000179
180,QA Engineer,QA Engineer - Automation,"Django, SQL, REST API, Golang",Fresh / 0-1 year,"$58,411-$76,090 per year",https://www.linkedin.com/jobs/view/4000000180
181,Machine Learning Engineer,Machine Learning Engineer - Frontend,"NLP, Golang, Jenkins",6 year(s),"BDT 20,000 - 30,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000181
182,Database Administrator,Intern Database Administrator,"Security, Linux, NumPy, CI/CD",2 year(s),"BDT 10,000 - 20,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000182
183,Software Engineer,Platform Software Engineer,"Linux, Ansible, Terraform, SQL",Fresh / 0-1 year,"BDT 20,000/month",https://www.linkedin.com/jobs/view/4000000183
184,Database Administrator,Frontend Database Administrator,"Spring, iOS, TensorFlow, Power BI",6 year(s),"BDT 20,000 - 40,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000184
185,Full Stack Developer,Senior Full Stack Developer,"Ansible, Tableau, Jenkins, Flask, C#, REST API",3 year(s),"BDT 45,000 - 65,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000185
186,Frontend Developer,Frontend Developer (Remote),"PyTorch, Python, Laravel, C++, PHP",5 year(s),"Tk. 15,000 - 15,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000186
187,Machine Learning Engineer,Cloud Machine Learning Engineer,"Angular, Security, pandas, Power BI, Jenkins, CSS",4 year(s),"BDT 15,000/month",https://www.linkedin.com/jobs/view/4000000187
188,Data Analyst,Data Analyst - Flutter Developer,"iOS, React, Git, Vue.js",3 year(s),"$86,170-$100,232 per year",https://www.linkedin.com/jobs/view/4000000188
189,Machine Learning Engineer,Lead Machine Learning Engineer,"GCP, Kotlin, Git, iOS",10 year(s),"BDT 40,000 - 60,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000189
190,Database Administrator,Senior Database Administrator,"Python, TensorFlow, Vue.js, PostgreSQL, Bash",6 year(s),"BDT 10,000 - 20,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000190
191,Data Analyst,Data Analyst - India Based,"Vue.js, CSS, CI/CD, AWS, C#",2 year(s),"BDT 90,000/month",https://www.linkedin.com/jobs/view/4000000191
192,Frontend Developer,Frontend Developer (Remote),"TypeScript, Docker, Linux",4 year(s),"৳70,000 - ৳100,000 per month",https://www.linkedin.com/jobs/view/4000000192
193,Full Stack Developer,Contract Full Stack Developer,"Node.js, NLP, PyTorch, C#",7 year(s),"$52,630-$79,169 USD (Annual)",https://www.linkedin.com/jobs/view/4000000193
194,DevOps Engineer,DevOps Engineer (Remote),"AWS, Git, Azure",5 year(s),"Tk. 10,000 - 40,000 (Monthly)",https://www.linkedin.com/jobs/view/4321162807
195,Database Administrator,Database Administrator - Frontend,"GCP, Laravel, AWS, CSS, NumPy",6 year(s),"BDT 40,000 - 70,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000195
196,Software Developer,Senior Software Developer,"MySQL, Kubernetes, Django, Redis, Power BI, MongoDB",6 year(s),"$84,882-$107,755 USD (Annual)",https://www.linkedin.com/jobs/view/4000000196
197,Mobile Developer,Lead Mobile Developer,"C++, Bash, GCP, Computer Vision, NumPy, NLP",5 year(s),"$73,768-$104,604 USD (Annual)",https://www.linkedin.com/jobs/view/4000000197
198,Data Scientist,Lead Data Scientist,"Security, JavaScript, PHP, Flask",2 year(s),"$57,955-$116,235 per year",https://www.linkedin.com/jobs/view/4000000198
199,Research Assistant,Research Assistant - Europe Based,"C#, pandas, Selenium, Git, Docker, Linux",2 year(s),"$85,144-$106,991 per year",https://www.linkedin.com/jobs/view/4000000199
200,Machine Learning Engineer,Lead Machine Learning Engineer,"CSS, GCP, Spark, Django, Terraform",3 year(s),"Tk. 20,000 - 30,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000200
201,Computer Vision Engineer,Data Computer Vision Engineer,"Laravel, C++, Scikit-learn, MongoDB, Swift, Hadoop",6 year(s),"BDT 10,000/month",https://www.linkedin.com/jobs/view/4000000201
202,Security Engineer,Frontend Security Engineer,"Laravel, CSS, Android, MongoDB, .NET",1 year(s),"$79,323 per year",https://www.linkedin.com/jobs/view/4000000202
203,NLP Engineer,NLP Engineer - Backend,"Azure, AWS, Computer Vision, Flask, Selenium, Android",12 year(s),"BDT 30,000/month",https://www.linkedin.com/jobs/view/4339571376
204,Research Assistant,Research Assistant (Remote),"Express.js, Computer Vision, Laravel, iOS, Linux, Git",4 year(s),"$61,996-$83,700 USD (Annual)",https://www.linkedin.com/jobs/view/4000000204
205,IT Support,Intern IT Support,"Scikit-learn, Ansible, Node.js, pandas, JavaScript",1 year(s),"BDT 15,000 - 45,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000205
206,Cloud Engineer,Junior Cloud Engineer,".NET, Redis, GCP, Jenkins",2 year(s),"৳20,000 - ৳20,000 per month",https://www.linkedin.com/jobs/view/4000000206
207,Mobile Developer,Mobile Developer - Backend,"NLP, Tableau, Spring, Jenkins",6 year(s),"$45,769 per year",https://www.linkedin.com/jobs/view/4000000207
208,Systems Administrator,Senior Systems Administrator,"CI/CD, .NET, iOS",4 year(s),"$89,600-$169,203 USD (Annual)",https://www.linkedin.com/jobs/view/4000000208
209,Teaching,Teaching - AI,"Angular, AWS, Spark, Selenium",1 year(s),"$59,542-$107,661 per year",https://www.linkedin.com/jobs/view/4000000209
210,IT Support,Mobile IT Support,"Spring, Linux, Azure, Django",3 year(s),"$53,840 per year",https://www.linkedin.com/jobs/view/4000000210
211,QA Engineer,Contract QA Engineer,"REST API, JavaScript, TypeScript",1 year(s),"৳15,000 - ৳45,000 per month",https://www.linkedin.com/jobs/view/4000000211
212,Security Engineer,Security Engineer - Mobile,"TypeScript, Angular, Terraform, Hadoop, MySQL, GraphQL",4 year(s),"BDT 15,000/month",https://www.linkedin.com/jobs/view/4000000212
213,DevOps Engineer,AI DevOps Engineer,"PostgreSQL, Spring, Flask, Git, NumPy, C++",6 year(s),"Tk. 10,000 - 10,000 (Monthly)",https://www.linkedin.com/jobs/view/4316917585
214,Data Scientist,Data Scientist - Frontend,"Scikit-learn, PostgreSQL, Laravel, JavaScript",Fresh / 0-1 year,"BDT 10,000/month",https://www.linkedin.com/jobs/view/4000000214
215,Data Analyst,Junior Data Analyst,"Docker, PyTorch, GraphQL, MySQL, iOS",Fresh / 0-1 year,"$51,984-$76,904 per year",https://www.linkedin.com/jobs/view/4000000215
216,Systems Administrator,Systems Administrator (Remote),"Kotlin, iOS, JavaScript, Ansible",2 year(s),"$71,632-$139,062 USD (Annual)",https://www.linkedin.com/jobs/view/4000000216
217,BI Developer,BI Developer - India Based,"GCP, PyTorch, Flask",Fresh / 0-1 year,"BDT 10,000/month",https://www.linkedin.com/jobs/view/4000000217
218,IT Support,IT Support - iOS Developer,"Security, Bash, Git, GraphQL",Fresh / 0-1 year,"৳20,000 - ৳50,000 per month",https://www.linkedin.com/jobs/view/4000000218
219,Mobile Developer,Senior Mobile Developer,"Git, CSS, AWS, Azure",6 year(s),"৳90,000 - ৳90,000 per month",https://www.linkedin.com/jobs/view/4000000219
220,Security Engineer,Security Engineer - Node.js Developer,"Git, Python, Bash",Fresh / 0-1 year,"৳40,000 - ৳50,000 per month",https://www.linkedin.com/jobs/view/4000000220
221,Frontend Developer,Security Frontend Developer,"Node.js, Angular, NLP, TypeScript, Golang, Python",3 year(s),"$59,135-$137,552 per year",https://www.linkedin.com/jobs/view/4000000221
222,Security Engineer,Security Engineer - Mobile,".NET, Node.js, Ansible, Azure",1 year(s),"$47,062-$111,387 USD (Annual)",https://www.linkedin.com/jobs/view/4000000222
223,Product Engineer,Senior Product Engineer,"Git, TensorFlow, Security",4 year(s),"Tk. 20,000 - 30,000 (Monthly)",https://www.linkedin.com/jobs/view/4315907244
224,Cloud Engineer,Cloud Engineer - Cloud,"Redis, PostgreSQL, PyTorch, Linux, Express.js, Bash",3 year(s),"$73,573 per year",https://www.linkedin.com/jobs/view/4000000224
225,DevOps Engineer,Junior DevOps Engineer,"Spark, CI/CD, Kotlin, HTML",1 year(s),"$76,849 per year",https://www.linkedin.com/jobs/view/4316917585
226,Research Assistant,Senior Research Assistant,"Django, AWS, Java",3 year(s),"BDT 40,000/month",https://www.linkedin.com/jobs/view/4000000226
227,Computer Vision Engineer,Data Computer Vision Engineer,"Angular, GraphQL, Swift, Computer Vision, Git, Golang",6 year(s),"৳40,000 - ৳40,000 per month",https://www.linkedin.com/jobs/view/4000000227
228,AI Researcher,Lead AI Researcher,"Security, Golang, HTML, Android, Bash, CSS",3 year(s),"BDT 30,000/month",https://www.linkedin.com/jobs/view/4000000228
229,Machine Learning Engineer,Senior Machine Learning Engineer,"MySQL, Git, Laravel, Express.js, Spring, Selenium",3 year(s),"BDT 20,000 - 20,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000229
230,Teaching,Teaching (Remote),"Hadoop, Golang, C#, React, Power BI",6 year(s),"BDT 70,000/month",https://www.linkedin.com/jobs/view/4000000230
231,Mobile Developer,Intern Mobile Developer,"Git, Bash, NLP, CSS, Python, Node.js",1 year(s),"BDT 30,000/month",https://www.linkedin.com/jobs/view/4000000231
232,Backend Developer,Contract Backend Developer,"Spark, Linux, PyTorch, NumPy, Flask",3 year(s),"BDT 15,000 - 15,000 (Monthly)",https://www.linkedin.com/jobs/view/4191117617
233,Teaching,Teaching - Java Developer,"C++, CI/CD, Security",6 year(s),"Tk. 15,000 - 25,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000233
234,Software Developer,Junior Software Developer,"Git, React, Jenkins, Bash, Golang",9 year(s),"BDT 70,000/month",https://www.linkedin.com/jobs/view/4000000234
235,AI Researcher,AI Researcher (Remote),"Spark, Angular, PostgreSQL, Power BI, Swift",1 year(s),"৳90,000 - ৳120,000 per month",https://www.linkedin.com/jobs/view/4000000235
236,AI Researcher,Contract AI Researcher,"HTML, Java, MongoDB, Swift, Power BI",11 year(s),"Tk. 10,000 - 20,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000236
237,AI Researcher,Lead AI Researcher,"C++, GCP, CSS, Ansible, Spark",1 year(s),"Tk. 40,000 - 50,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000237
238,AI Researcher,AI Researcher (Remote),"Angular, .NET, iOS, Selenium, NumPy",8 year(s),"BDT 30,000/month",https://www.linkedin.com/jobs/view/4000000238
239,Mobile Developer,Intern Mobile Developer,"Kotlin, Selenium, Java, Jenkins, Kubernetes",0.6 year(s),"BDT 50,000 - 60,000 (Monthly)",https://www.linkedin.com/jobs/view/4191117617
240,Data Scientist,Data Scientist - India Based,"Tableau, MongoDB, NumPy, Git, Angular",3 year(s),"BDT 40,000 - 50,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000240
241,NLP Engineer,Intern NLP Engineer,"Tableau, Selenium, C++, Flask, Git, Laravel",6 year(s),"৳20,000 - ৳40,000 per month",https://www.linkedin.com/jobs/view/4000000241
242,Data Scientist,Security Data Scientist,"TypeScript, PHP, Ansible",10 year(s),"BDT 20,000 - 50,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000242
243,NLP Engineer,Lead NLP Engineer,"Golang, React, Laravel, Kubernetes, Terraform, Flask",5 year(s),"Tk. 90,000 - 90,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000243
244,NLP Engineer,NLP Engineer - Python Developer,"Selenium, CSS, Security, React, Hadoop",1 year(s),"৳50,000 - ৳70,000 per month",https://www.linkedin.com/jobs/view/4000000244
245,Cloud Engineer,Lead Cloud Engineer,"Spark, CSS, MySQL",1 year(s),"৳15,000 - ৳25,000 per month",https://www.linkedin.com/jobs/view/4000000245
246,Security Engineer,Intern Security Engineer,"CSS, Security, GCP, Django",1 year(s),"Tk. 20,000 - 30,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000246
247,Machine Learning Engineer,Intern Machine Learning Engineer,"iOS, TypeScript, Bash",1 year(s),"BDT 90,000 - 120,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000247
248,Database Administrator,Mobile Database Administrator,"REST API, Selenium, React, Golang, AWS, Linux",1 year(s),"Tk. 70,000 - 80,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000248
249,AI Researcher,AI Researcher - Chittagong Based,"REST API, CI/CD, Bash, Python",12 year(s),"BDT 70,000/month",https://www.linkedin.com/jobs/view/4000000249
250,Frontend Developer,Intern Frontend Developer,"TensorFlow, Express.js, Laravel",1 year(s),"$45,493 per year",https://www.linkedin.com/jobs/view/4283320265
251,DevOps Engineer,Contract DevOps Engineer,"AWS, CSS, C++",5 year(s),"৳15,000 - ৳25,000 per month",https://www.linkedin.com/jobs/view/4000000251
252,AI Researcher,AI Researcher - Flutter Developer,"GCP, Git, Power BI, pandas",3 year(s),"BDT 1,40,000/month",https://www.linkedin.com/jobs/view/4332172280
253,Research Assistant,Junior Research Assistant,"C++, Spark, Azure",3 year(s),"BDT 100,000 - 120,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000253
254,Web Developer,Frontend Web Developer,"REST API, Flask, iOS",2 year(s),"BDT 40,000 - 40,000 (Monthly)",https://www.linkedin.com/jobs/view/4321162807
255,DevOps Engineer,Senior DevOps Engineer,"GraphQL, Spring, Swift, Flask",3 year(s),"BDT 20,000/month",https://www.linkedin.com/jobs/view/4000000255
256,Systems Administrator,Systems Administrator (Remote),"iOS, Security, Git, Selenium, Docker",2 year(s),"৳30,000 - ৳60,000 per month",https://www.linkedin.com/jobs/view/4000000256
257,Machine Learning Engineer,Contract Machine Learning Engineer,"Redis, Node.js, Linux, Spark, Laravel",12 year(s),"$56,393-$124,427 per year",https://www.linkedin.com/jobs/view/4000000257
258,Mobile Developer,Mobile Developer - Dhaka Based,"Laravel, React, AWS",4 year(s),"৳30,000 - ৳50,000 per month",https://www.linkedin.com/jobs/view/4000000258
259,Computer Vision Engineer,Computer Vision Engineer (Remote),"Swift, Computer Vision, Bash, Redis, React, Git",9 year(s),"BDT 30,000 - 50,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000259
260,Frontend Developer,Lead Frontend Developer,"Security, PHP, GraphQL, Docker",1 year(s),"Tk. 15,000 - 45,000 (Monthly)",https://www.linkedin.com/jobs/view/4283320265
261,QA Engineer,QA Engineer - USA Based,"NLP, Spark, MySQL, Azure",3 year(s),"Tk. 70,000 - 100,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000261
262,Research Assistant,Contract Research Assistant,"SQL, Kotlin, Python, Security, Swift, C++",1 year(s),"BDT 40,000/month",https://www.linkedin.com/jobs/view/4000000262
263,BI Developer,BI Developer - Remote Based,"C++, GCP, Kotlin, NLP, Kubernetes, Linux",8 year(s),"Tk. 20,000 - 30,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000263
264,Systems Administrator,Systems Administrator - Remote Based,"C#, GCP, NumPy",3 year(s),"BDT 50,000/month",https://www.linkedin.com/jobs/view/4000000264
265,Systems Administrator,Lead Systems Administrator,"pandas, Security, HTML, Angular, PyTorch",5 year(s),"Tk. 40,000 - 60,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000265
266,Research Assistant,AI Research Assistant,"Swift, Spark, NumPy, Tableau, Computer Vision",1 year(s),"BDT 40,000 - 70,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000266
267,IT Support,Junior IT Support,"Golang, SQL, CSS, PostgreSQL, Android",3 year(s),"৳90,000 - ৳110,000 per month",https://www.linkedin.com/jobs/view/4000000267
268,Software Engineer,Software Engineer (Remote),"Spring, Azure, Angular, React",9 year(s),"Tk. 10,000 - 40,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000268
269,Web Developer,Lead Web Developer,"PyTorch, HTML, Express.js, Hadoop, Security",1 year(s),"৳50,000 - ৳80,000 per month",https://www.linkedin.com/jobs/view/4000000269
270,Data Scientist,Intern Data Scientist,"Hadoop, HTML, Ansible, CI/CD, MongoDB, Docker",1 year(s),"$68,957-$119,309 per year",https://www.linkedin.com/jobs/view/4332405524
271,Full Stack Developer,Backend Full Stack Developer,"pandas, CI/CD, Python, Kotlin, NumPy",9 year(s),"BDT 70,000 - 90,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000271
272,DevOps Engineer,Lead DevOps Engineer,"Android, Computer Vision, CSS, AWS",4 year(s),"BDT 70,000/month",https://www.linkedin.com/jobs/view/4316917585
273,IT Support,Junior IT Support,"Node.js, HTML, Scikit-learn, GraphQL, PyTorch",3 year(s),"BDT 50,000 - 50,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000273
274,Machine Learning Engineer,Junior Machine Learning Engineer,"iOS, Python, Golang, Vue.js, Java, Ansible",2 year(s),"৳90,000 - ৳110,000 per month",https://www.linkedin.com/jobs/view/4000000274
275,Data Scientist,Data Scientist (Remote),"C#, .NET, Security, Laravel, AWS, Python",3 year(s),"Tk. 90,000 - 100,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000275
276,Cloud Engineer,Cloud Engineer - AI,"Spring, HTML, iOS, Flask, Computer Vision",10 year(s),"BDT 90,000 - 110,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000276
277,Data Analyst,Senior Data Analyst,"Power BI, MySQL, Selenium, Node.js",3 year(s),"BDT 10,000 - 40,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000277
278,Machine Learning Engineer,Senior Machine Learning Engineer,"Docker, CSS, Java",3 year(s),"BDT 30,000/month",https://www.linkedin.com/jobs/view/4000000278
279,Software Engineer,Software Engineer - Cloud,"NumPy, Android, PyTorch",6 year(s),"BDT 20,000/month",https://www.linkedin.com/jobs/view/4000000279
280,Web Developer,Web Developer - Automation,"CI/CD, Kubernetes, Scikit-learn, Python, Tableau",6 year(s),"$41,226 per year",https://www.linkedin.com/jobs/view/4000000280
281,Research Assistant,Contract Research Assistant,"Tableau, Git, Java, GraphQL, PostgreSQL, SQL",2 year(s),"BDT 15,000 - 15,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000281
282,Data Analyst,Senior Data Analyst,"TypeScript, NumPy, Hadoop, GraphQL, Kotlin, Selenium",6 year(s),"BDT 150,000 - 250,000 (Monthly)",https://www.linkedin.com/jobs/view/4332405524
283,Teaching,Backend Teaching,"Bash, GraphQL, MySQL",3 year(s),"$45,107 per year",https://www.linkedin.com/jobs/view/4000000283
284,AI Researcher,Contract AI Researcher,"Jenkins, HTML, C#, Git",6 year(s),"$81,852 per year",https://www.linkedin.com/jobs/view/4000000284
285,Data Analyst,Contract Data Analyst,"TypeScript, Spring, CI/CD, REST API, PyTorch",8 year(s),"৳50,000 - ৳70,000 per month",https://www.linkedin.com/jobs/view/4000000285
286,BI Developer,Contract BI Developer,"Kubernetes, PyTorch, Azure, Python, iOS",Fresh / 0-1 year,"BDT 10,000/month",https://www.linkedin.com/jobs/view/4000000286
287,DevOps Engineer,Contract DevOps Engineer,"Angular, Flask, Scikit-learn, Docker",2 year(s),"BDT 30,000/month",https://www.linkedin.com/jobs/view/4000000287
288,Database Administrator,Database Administrator - Europe Based,"NumPy, Bash, Kotlin, Jenkins",3 year(s),"৳40,000 - ৳40,000 per month",https://www.linkedin.com/jobs/view/4000000288
289,QA Engineer,Lead QA Engineer,"HTML, Tableau, AWS",Fresh / 0-1 year,"BDT 50,000/month",https://www.linkedin.com/jobs/view/4000000289
290,Data Scientist,Intern Data Scientist,"Golang, TensorFlow, PostgreSQL",0.6 year(s),"Tk. 15,000 - 45,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000290
291,Web Developer,Junior Web Developer,"Git, .NET, NumPy, Azure, CSS, Jenkins",3 year(s),"$74,357-$116,632 USD (Annual)",https://www.linkedin.com/jobs/view/4000000291
292,Mobile Developer,Mobile Developer - Node.js Developer,"Docker, .NET, SQL, REST API, CSS",Fresh / 0-1 year,"BDT 50,000 - 80,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000292
293,DevOps Engineer,DevOps Engineer (Remote),"PHP, GraphQL, Java",12 year(s),"BDT 50,000/month",https://www.linkedin.com/jobs/view/4000000293
294,Mobile Developer,Contract Mobile Developer,"Git, pandas, GraphQL, iOS, Java",3 year(s),"BDT 10,000 - 30,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000294
295,Computer Vision Engineer,Senior Computer Vision Engineer,"AWS, TypeScript, MySQL",5 year(s),"$41,250 per year",https://www.linkedin.com/jobs/view/4000000295
296,Cloud Engineer,Intern Cloud Engineer,"C#, .NET, Spark",1 year(s),"$41,408-$56,618 USD (Annual)",https://www.linkedin.com/jobs/view/4000000296
297,Security Engineer,Cloud Security Engineer,"Docker, HTML, MongoDB, PHP, Spark",1 year(s),"BDT 70,000/month",https://www.linkedin.com/jobs/view/4000000297
298,Systems Administrator,Contract Systems Administrator,"GCP, PHP, Jenkins, Java",2 year(s),"$61,580 per year",https://www.linkedin.com/jobs/view/4000000298
299,Database Administrator,Database Administrator - Automation,"TensorFlow, Tableau, Java, CSS",7 year(s),"BDT 15,000/month",https://www.linkedin.com/jobs/view/4000000299
300,Mobile Developer,Mobile Developer - USA Based,"Java, Tableau, .NET, Angular, Express.js",3 year(s),"BDT 30,000 - 40,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000300
301,Computer Vision Engineer,Security Computer Vision Engineer,"Ansible, AWS, NumPy, pandas",1 year(s),"BDT 70,000/month",https://www.linkedin.com/jobs/view/4000000301
302,DevOps Engineer,Intern DevOps Engineer,"Kotlin, SQL, Scikit-learn, PHP, TensorFlow, Azure",6 year(s),"$65,831 per year",https://www.linkedin.com/jobs/view/4000000302
303,Product Engineer,Contract Product Engineer,"Computer Vision, Flask, Git, AWS, Hadoop, NLP",3 year(s),"BDT 90,000/month",https://www.linkedin.com/jobs/view/4000000303
304,IT Support,IT Support - Remote Based,"Vue.js, iOS, Spark, Node.js, C#, Tableau",4 year(s),"Tk. 50,000 - 80,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000304
305,Product Engineer,Junior Product Engineer,"Vue.js, Node.js, Android",2 year(s),"৳70,000 - ৳80,000 per month",https://www.linkedin.com/jobs/view/4315907244
306,Machine Learning Engineer,Junior Machine Learning Engineer,"Tableau, Android, JavaScript, GCP",3 year(s),"$69,245 per year",https://www.linkedin.com/jobs/view/4000000306
307,DevOps Engineer,DevOps Engineer - Dhaka Based,"Ansible, NumPy, CI/CD, Linux, Python, REST API",7 year(s),"৳90,000 - ৳120,000 per month",https://www.linkedin.com/jobs/view/4000000307
308,Frontend Developer,Senior Frontend Developer,"Java, JavaScript, CSS, Docker",6 year(s),"$83,712-$132,829 per year",https://www.linkedin.com/jobs/view/4000000308
309,IT Support,Intern IT Support,"Scikit-learn, Computer Vision, Selenium, Kubernetes",6 year(s),"$61,156-$119,465 per year",https://www.linkedin.com/jobs/view/4000000309
310,Full Stack Developer,Full Stack Developer - Security,"Hadoop, GCP, C++, Kotlin, GraphQL",Fresh / 0-1 year,"BDT 15,000/month",https://www.linkedin.com/jobs/view/4000000310
311,Backend Developer,Intern Backend Developer,"Hadoop, iOS, HTML, NumPy, Bash, C#",7 year(s),"$52,684-$62,891 USD (Annual)",https://www.linkedin.com/jobs/view/4000000311
312,NLP Engineer,Junior NLP Engineer,"Docker, Git, Linux, HTML, C++",Fresh / 0-1 year,"Tk. 20,000 - 35,000 (Monthly)",https://www.linkedin.com/jobs/view/4321597171
313,Software Engineer,Software Engineer - Flutter Developer,"Security, C#, .NET",2 year(s),"$71,398-$143,591 USD (Annual)",https://www.linkedin.com/jobs/view/4000000313
